Highest Qualification,Area,Value
Degree or equivalent,Non-EU ,625
Degree or equivalent,EU,822
Higher education,Non-EU ,93
Higher education,EU,204
GCE A level or equivalent,Non-EU ,102
GCE A level or equivalent,EU,249
GCSE grades A*-C or equivalent,Non-EU ,77
GCSE grades A*-C or equivalent,EU,137
Other qualification,Non-EU ,215
Other qualification,EU,562
No qualification,Non-EU ,81
No qualification,EU,166
Don't know,Non-EU ,11
Don't know,EU,9
Total,Non-EU ,"1,206"
Total,EU,"2,159"
