LOCATION,foreign born (mns),population,GDP(bns)
AUS,7.53301,24594202,1326.516329
AUT,1.728554,8797566,417.2611518
BEL,1.973007,11375158,502.7647206
CZE,0.507051,10594438,218.628941
DNK,0.607622,5764980,332.1210638
FIN,0.387215,5508214,255.6479799
FRA,8.42866,66918020,2595.151045
DEU,13.457,82657002,3690.849153
HUN,0.565127,9787966,143.112196
ISL,0.061401,343400,24.72828518
ITA,6.069,60536709,1961.796197
LUX,0.291185,596336,65.71218034
NLD,2.298709,17131296,833.8696417
NOR,0.84158,5276968,398.3939553
SVK,0.194389,5439232,95.64996626
ESP,6.53896,46593236,1313.24533
SWE,1.955569,10057698,541.0187498
CHE,2.553416,8451840,695.2008331
TUR,2.668594,82089826,858.9962631
GBR,9.398,66058859,2683.399007
CHL,1.251566,18368577,276.3649337
EST,0.198064,1317384,26.9243851
ISR,1.80892,8713300,358.2454275
SVN,0.265072,2066388,48.58910004
LVA,0.241754,1942248,30.48380602
LTU,0.138171,2828403,47.75873693
