LOCATION,TIME,Value,Foreign_born_emp
AUS,2021,105.099423,74.2
AUT,2021,103.518707,67.6
BEL,2021,102.796649,59.4
CAN,2021,104.465477,73.3
CZE,2021,110.403252,79.8
DNK,2021,108.295185,70
FIN,2021,104.298407,66.2
FRA,2021,102.187438,61.1
DEU,2021,106.100411,68.3
GRC,2021,95.833755,54.9
HUN,2021,113.992793,80.3
ISL,2021,111.904578,77
IRL,2021,136.359543,71.8
ITA,2021,102.57374,59.3
LUX,2021,99.250677,72.8
MEX,2021,95.024673,51.7
NLD,2021,99.810204,66.8
NZL,2021,104.135974,80.8
NOR,2021,104.135387,70.2
POL,2021,120.287536,80.4
PRT,2021,104.480653,76.9
SVK,2021,117.322302,73.7
ESP,2021,100.116692,60.4
SWE,2021,106.659194,64.9
CHE,2021,108.243419,75.2
GBR,2021,101.732968,75.5
USA,2021,108.386615,70
CRI,2021,122.160896,62.1
EST,2021,122.787944,71.2
ISR,2021,117.46853,77.9
LVA,2021,124.063823,67.1
LTU,2021,123.47746,68.2
SVN,2021,114.870443,67.6
COL,2021,114.78979,69.7
