Ages,Category,Value
5,%current_pop,5.536338382
5,%_imm,11.5229786
10,%current_pop,6.217216428
10,%_imm,7.115400779
15,%current_pop,6.165263596
15,%_imm,6.311645448
20,%current_pop,5.593268361
20,%_imm,11.76202893
25,%current_pop,6.044537392
25,%_imm,18.85315334
30,%current_pop,6.575870368
30,%_imm,17.12084699
45,%current_pop,19.60575813
45,%_imm,21.07793452
60,%current_pop,19.75117113
60,%_imm,4.881975138
65,%current_pop,5.793683508
65,%_imm,0.569037213
75,%current_pop,9.915059436
75,%_imm,0.588232711
85,%current_pop,6.249438486
85,%_imm,0.16654066
85 +,%current_pop,2.518128693
85 +,%_imm,0.030225672
